Domain Name,Domain Level,Domain Description,Category Name,Category Level,Category Description,Tool Name,Date Added,Description,Icon URL,Website URL,OSS,Popular,Verified,Tags,Keywords,Social URLs
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","AIspec","12/03/2025","A specification language for AI-first development that shifts focus from implementation to intent through structured solution space reduction. AISpec implements the What-Boundaries-Success (WBS) framework as a prompting framework, providing a practical system for intent engineering in AI applications.","","https://github.com/cbora/aispec",true,false,false,"OSS;GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Carrot","12/03/2025","Carrot: Simplifying and Enhancing PRD Creation","","https://github.com/talvinder/carrot-product-requirements-document-prd",true,false,false,"OSS;GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Chat PRD","12/03/2025","The #1 AI tool for product managers & their teams.Write great product docs—fast, and use AI to become an elite PM. ChatPRD is a PM copilot that can think faster than you can type. Let ChatPRD write your docs and get back to building.","https://chatprd.ai/favicon.ico","https://chatprd.ai/",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Cloud Architect AI","26/03/2025","Cloud Architect AI transforms how developers and architects design cloud infrastructure by leveraging AI to generate architecture diagrams and infrastructure-as-code from natural language requirements. Simply describe what you need, and the AI will propose multiple architecture options with cost estimates and ready-to-deploy Terraform code.","https://github.com/favicon.ico","https://github.com/Siddhant-K-code/cloud-architect-ai",true,false,false,"OSS;GA;Requirements;Product","Documentation;Knowledge sharing;Architecture;Infrastructure;Cloud","https://x.com/Siddhant_K_code/status/1898696089299271863"
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","CodeGuide","12/03/2025","Your AI Companion To Help You Code Anything Code Guide creates detailed Documentation for your AI Coding Projects.","https://www.codeguide.dev/icon.png?754055a3ebc2f898","https://www.codeguide.dev/",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Delibr","12/03/2025","PRD Copilot for product managers. Go from idea and feedback to a crisp document linked to Jira tickets with the help of a generative AI assistant.","https://cdn.prod.website-files.com/607405e57d7f7c6426ed0d07/607563f221a2b8a25f336625_favicon.png","https://delibr.com/",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Docuopia","12/03/2025","Spend less time on docs. Let Docuopia AI craft product requirements, help docs, and wikis in a few minutes. Start streamlining now.","https://cdn.prod.website-files.com/65dd4d9e255fe9f3d0990645/65e1839bfcbafca49807425e_favicon-32x32.png","https://docuopia.com/",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Full Stack Roadmap","12/03/2025","Transform Your Ideas Into Full-Stack Apps Get AI-powered architecture plans, documentation, and UI designs in minutes","https://www.fullstackroadmap.com/logo.png","https://www.fullstackroadmap.com/",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Luna AI","01/04/2025","Your AI Program Manager that gives Engineering and Product teams visibility into goals, roadmap cost and ROI, initiative progress, and risks throughout the product lifecycle.","https://storage.googleapis.com/assets.withluna.ai/luna-logo-blue-background.png","https://withluna.ai/",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Product Monkey","12/03/2025","Convert product design and wireframe images to drafts of Product Requirements Documents and Engineering Task Tickets in seconds.","https://productmonkey.ai/favicon.ico","https://productmonkey.ai/",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Reqi","12/03/2025","An online requirements management tool for systems engineering to bring your teams together in one simple platform. Built for project teams, systems engineers, and asset owners.","https://reqi.io/favicon.ico","https://reqi.io/",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","SpecStory","12/03/2025","Capture, search and learn from every AI coding journey. Transform your AI interactions into a living spec. Accelerate your software composition workflow.  ","https://specstory.com/favicon.ico","https://specstory.com/",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Specifai","14/04/2025","Specifai is an AI-powered platform that transforms the project requirements management. It combines AI technology with intuitive workflows to automate documentation, generate and manage tasks - all while adapting to your team's specific needs.","https://avatars.githubusercontent.com/u/188236679?s=128","https://github.com/presidio-oss/specif-ai",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Wisary","25/04/2025","Align Your Team to Ship the Right Product Fast With the help of AI, Wisary keeps product managers & engineers aligned, PRDs clear, and projects on track","https://wisary.ai/wp-content/uploads/2025/02/cropped-Wisary-Logo-Filled-Small-192x192.png","https://wisary.ai/",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Requirements",1,"Managing requirements to build the product","Write my PRD","12/03/2025","Make Writing PRDs a Breeze with ChatGPT.","https://writemyprd.com/favicon.ico","https://writemyprd.com/",false,false,false,"GA;Requirements;Product","",""
"Product",1,"Product related","Design",2,"Help convert design into code","Anima","12/03/2025","Turn your design into a live web app Generate, preview, and edit code instantly.","https://a.storyblok.com/f/89137/x/e1adbda50a/anima-logo.svg","https://www.animaapp.com/",false,false,false,"GA;Design;Product","",""
"Product",1,"Product related","Design",2,"Help convert design into code","Builder","12/03/2025","Take Ideas to Production in Seconds, Not Sprints. Accelerate your digital teams with AI-powered design-to-code, visual editing, and enterprise CMS, all in our Visual Development Platform.","https://builder.io/favicon.ico","https://builder.io/",false,true,false,"GA;Design;Product","",""
"Product",1,"Product related","Design",2,"Help convert design into code","Chordio","24/03/2025","AI Copilot for UX design Chordio learns your product and best practices, helping you define, design, and refine faster.","https://chordio.com/icon.png?08e4cb35be0e271c","https://chordio.com/",false,false,false,"GA;Design;Product","",""
"Product",1,"Product related","Design",2,"Help convert design into code","Clone UI","02/04/2025","Clone UI Designs Directly into Code. Screenshots and URLs are immediately converted into code components.","https://cloneui.org/_nuxt/logo.CpPKxWMh.png","https://cloneui.org/",true,false,false,"OSS;GA;Design;Product","",""
"Product",1,"Product related","Design",2,"Help convert design into code","Code","12/03/2025","Convert your Figma, Sketch and Adobe XD design to Flutter, React, Vue and more.  As simple as % designto react https://www.figma.com/files/XXX -o mypage.tsx","https://avatars.githubusercontent.com/u/86340715?s=48&v=4","https://github.com/gridaco/code",true,false,false,"OSS;GA;Design;Product","",""
"Product",1,"Product related","Design",2,"Help convert design into code","Design2Code","12/03/2025","Converting visual design (screenshot) into code implementation.Design2Code is maintained by the SALT lab from Stanford NLP. It includes two benchmark datasets:   The Design2Code benchmark dataset for the task of converting visual design (screenshot) into code implementation, which consists of 484 real-world webpages from C4.   The Design2Code-Hard dataset, a subset of 80 extra difficult test cases collected from Github Pages that challenges SoTA VLMs' capabilities of Web UI generation.","","https://github.com/NoviScl/Design2Code",true,false,false,"OSS;GA;Design;Product","",""
"Product",1,"Product related","Design",2,"Help convert design into code","Fig4AI","12/03/2025","A CLI tool that uses AI to generate design rules and documentation from your Figma files. It analyzes your Figma designs and automatically extracts design tokens, components, and layout information into a structured format.","","https://github.com/f/fig4ai",true,false,false,"OSS;GA;Design;Product","",""
"Product",1,"Product related","Design",2,"Help convert design into code","Figma.ai","12/03/2025","Generate Beautiful UI Designs with AI Create designs in seconds not hours or days Auto generate Figma Variables with Light + Dark Modes","https://figma.ai/img/logo.png","https://figma.ai",false,false,false,"GA;Design;Product","",""
"Product",1,"Product related","Design",2,"Help convert design into code","Galileo","12/03/2025","Ready to generate designs at lightning speed? Galileo generates beautiful and functional interface designs tailored to your needs. Use both text and images to get a design that isn't generic.","https://www.usegalileo.ai/assets/favicon/apple-touch-icon-57x57.png","https://www.usegalileo.ai/",false,false,false,"GA;Design;Product","",""
"Product",1,"Product related","Design",2,"Help convert design into code","Locofy","12/03/2025","Turn your designs into developer-friendly frontend <code> for mobile apps and web. Works with Figma and Adobe XD.","https://www.locofy.ai/favicon.ico","https://www.locofy.ai/convert/design-to-code",false,true,false,"GA;Design;Product","",""
"Product",1,"Product related","Design",2,"Help convert design into code","Visily","12/03/2025","Visily’s AI converts any user design input—text prompt, screenshot, and more—to a fully customizable high-fidelity design. Unlike other software, getting started is the easiest part!","https://cdn.prod.website-files.com/64f605bdfa749671fed117a9/654d596e21c1641c27f09aaf_Visily%20AI.png","https://www.visily.ai/ai-design/",false,false,false,"GA;Design;Product","",""
"Product",1,"Product related","Nocode",3,"Build applications with no code & fast prototyping","Dalton","09/04/2025","Self-Improving Websites:  Dalton runs experiments 10x faster, learns what works, and improves your website 24/7. Better results, zero extra effort.","https://cdn.prod.website-files.com/67ac916cbb2d7864353aa101/67ac916cbb2d7864353aa272_Fav.png","https://www.getdalton.com/",false,false,false,"Beta;Nocode;Product","",""
"Product",1,"Product related","Nocode",3,"Build applications with no code & fast prototyping","Data Button","12/03/2025","Databutton's agent is the perfect AI developer for non-techies. You talk about your app and needs – Databutton's reasoning agent learns, plans, and executes on big tasks. Our core users are small business owners and non-technical founders.   Databutton's agent is fully web based and comes with an online developer environment. It has all the capabilities of a real professional developer – it writes React frontends, Python FastAPI backends, can install packages, write scripts to test code, and more.  It produces full fledged SaaS and business applications, integrated with business systems, tools, and APIs you need. The applications are often AI spins on the most valuable apps and use cases today and imbued with business logic relevant to the business building them.","https://databutton.com/static/apple-icon.png","https://databutton.com/",false,false,true,"Verified;GA;Nocode;Product","","https://www.youtube.com/@databutton;https://www.linkedin.com/company/databutton;https://x.com/DatabuttonHQ"
"Product",1,"Product related","Nocode",3,"Build applications with no code & fast prototyping","FlutterFlow","24/03/2025","Build Better. Launch Faster. FlutterFlow helps you build high quality, customized apps quickly","https://docs.flutterflow.io/logos/logo_primary_color_onLight@2x.png","http://www.flutterflow.com",false,false,false,"GA;Nocode;Product","",""
"Product",1,"Product related","Nocode",3,"Build applications with no code & fast prototyping","Framer","12/03/2025","AI-powered website builder with design components and code generation.","https://framerusercontent.com/images/TvJ9grdPgk3sRz6T6XwkpBrFr4k.png?scale-down-to=512","https://www.framer.com/ai/",false,false,false,"GA;Nocode;Product","",""
"Product",1,"Product related","Nocode",3,"Build applications with no code & fast prototyping","Keak","12/03/2025","Higher conversionrates driven by AI. The first AI agent that continuously improves your website.","https://framerusercontent.com/images/7O25asSN8XNyGB2KZM1hjlOLpBU.png","https://keak.com/",false,false,false,"GA;Nocode;Product","",""
"Product",1,"Product related","Nocode",3,"Build applications with no code & fast prototyping","Oakie","26/03/2025","Oakie's platform empowers you to build custom AI agents that acts on the most critical business tasks, as you would, ensuring human expertise remains at the center of every step.","https://media.licdn.com/dms/image/v2/D4D0BAQHwQfXDqkCK5g/company-logo_200_200/company-logo_200_200/0/1732214748113/oakminer_ai_logo?e=2147483647&v=beta&t=SK-ydCHOHa3tiG0-LhqKWiE4jWi4tqILSzFUOKpEaug","https://www.oakie.ai/",false,false,true,"Verified;GA;Nocode;Product","","https://www.linkedin.com/company/oakie-ai/"
